centroide,id,nombre,poblacion,prov_superf
"{'lat': -26.8753965086829, 'lon': -54.6516966230371}",54,Misiones,1280960.0,29911.4
"{'lat': -33.7577257449137, 'lon': -66.0281298195836}",74,San Luis,540905.0,75347.1
"{'lat': -30.8653679979618, 'lon': -68.8894908486844}",70,San Juan,818234.0,88296.2
"{'lat': -32.0588735436448, 'lon': -59.2014475514635}",30,Entre Ríos,1426426.0,78383.7
"{'lat': -48.8154851827063, 'lon': -69.9557621671973}",78,Santa Cruz,333473.0,244457.5
"{'lat': -40.4057957178801, 'lon': -67.229329893694}",62,Río Negro,762067.0,202168.6
"{'lat': -43.7886233529878, 'lon': -68.5267593943345}",26,Chubut,603120.0,224302.3
"{'lat': -32.142932663607, 'lon': -63.8017532741662}",14,Córdoba,3978984.0,164707.8
"{'lat': -34.6298873058957, 'lon': -68.5831228183798}",50,Mendoza,2014533.0,149069.2
"{'lat': -29.685776298315, 'lon': -67.1817359694432}",46,La Rioja,384607.0,91493.7
"{'lat': -27.3358332810217, 'lon': -66.9476824299928}",10,Catamarca,429556.0,101486.1
"{'lat': -37.1315537735949, 'lon': -65.4466546606951}",42,La Pampa,366022.0,143492.5
"{'lat': -27.7824116550944, 'lon': -63.2523866568588}",86,Santiago del Estero,1054028.0,136934.3
"{'lat': -28.7743047046407, 'lon': -57.8012191977913}",18,Corrientes,1197553.0,89123.3
"{'lat': -30.7069271588117, 'lon': -60.9498369430241}",82,Santa Fe,3556522.0,133249.1
"{'lat': -26.9478001830786, 'lon': -65.3647579441481}",90,Tucumán,1703186.0,22592.1
"{'lat': -38.6417575824599, 'lon': -70.1185705180601}",58,Neuquén,,94422.0
"{'lat': -24.2991344492002, 'lon': -64.8144629600627}",66,Salta,1440672.0,155340.5
"{'lat': -26.3864309061226, 'lon': -60.7658307438603}",22,Chaco,1142963.0,99763.3
"{'lat': -24.894972594871, 'lon': -59.9324405800872}",34,Formosa,606041.0,75488.3
"{'lat': -23.3200784211351, 'lon': -65.7642522180337}",38,Jujuy,797955.0,53244.2
"{'lat': -34.6144934119689, 'lon': -58.4458563545429}",02,Ciudad Autónoma de Buenos Aires,,205.9
"{'lat': -36.6769415180527, 'lon': -60.5588319815719}",06,Buenos Aires,17569053.0,305907.4
"{'lat': -82.52151781221, 'lon': -50.7427486049785}",94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",190641.0,910324.4
